Time,Target,EffTarget,Current,Mode,SafeState,k_used,c_used,vmax_s,ErrToDoctor,ErrToEff
2025-10-09 19:55:22,40.00,40.00,38.46,normal,IDLE,0.080,0.400,-1.00,2.11,2.11
2025-10-09 19:55:22,40.00,40.00,38.25,normal,IDLE,0.070,0.400,-1.00,2.26,2.26
2025-10-09 19:55:22,40.00,40.00,38.93,normal,IDLE,0.080,0.400,-1.00,1.54,1.54
2025-10-09 19:55:22,40.00,40.00,38.68,normal,IDLE,0.070,0.400,-1.00,1.75,1.75
2025-10-09 19:55:23,40.00,40.00,39.29,normal,IDLE,0.080,0.400,-1.00,1.07,1.07
2025-10-09 19:55:23,40.00,40.00,39.03,normal,IDLE,0.070,0.400,-1.00,1.32,1.32
2025-10-09 19:55:23,40.00,40.00,39.56,normal,IDLE,0.070,0.400,-1.00,0.71,0.71
2025-10-09 19:55:23,40.00,40.00,39.29,normal,IDLE,0.060,0.400,-1.00,0.97,0.97
2025-10-09 19:55:23,40.00,40.00,39.75,normal,IDLE,0.060,0.400,-1.00,0.44,0.44
2025-10-09 19:55:23,40.00,40.00,39.49,normal,IDLE,0.050,0.400,-1.00,0.71,0.71
2025-10-09 19:55:23,40.00,40.00,39.87,normal,IDLE,0.050,0.400,-1.00,0.25,0.25
2025-10-09 19:55:23,45.00,45.00,39.94,normal,IDLE,0.060,0.400,-1.00,5.51,5.51
2025-10-09 19:55:23,45.00,45.00,40.26,normal,IDLE,0.060,0.400,-1.00,5.13,5.13
2025-10-09 19:55:23,45.00,45.00,40.56,normal,IDLE,0.070,0.400,-1.00,5.06,5.06
2025-10-09 19:55:23,45.00,45.00,40.77,normal,IDLE,0.060,0.400,-1.00,4.74,4.74
2025-10-09 19:55:23,45.00,45.00,41.25,normal,IDLE,0.070,0.400,-1.00,4.44,4.44
2025-10-09 19:55:23,45.00,45.00,41.33,normal,IDLE,0.060,0.400,-1.00,4.23,4.23
2025-10-09 19:55:23,45.00,45.00,41.92,normal,IDLE,0.070,0.400,-1.00,3.75,3.75
